-- 1000 simple math problems (format: expression = answer)
-- Lines starting with -- are ignored by the reader; actual problems follow
1 + 2 = 3
2 + 3 = 5
3 + 4 = 7
4 + 5 = 9
5 + 6 = 11
6 + 7 = 13
7 + 8 = 15
8 + 9 = 17
9 + 10 = 19
10 + 11 = 21
11 + 12 = 23
12 + 13 = 25
13 + 14 = 27
14 + 15 = 29
15 + 16 = 31
16 + 17 = 33
17 + 18 = 35
18 + 19 = 37
19 + 20 = 39
20 + 21 = 41
21 + 22 = 43
22 + 23 = 45
23 + 24 = 47
24 + 25 = 49
25 + 26 = 51
26 + 27 = 53
27 + 28 = 55
28 + 29 = 57
29 + 30 = 59
30 + 31 = 61
31 + 32 = 63
32 + 33 = 65
33 + 34 = 67
34 + 35 = 69
35 + 36 = 71
36 + 37 = 73
37 + 38 = 75
38 + 39 = 77
39 + 40 = 79
40 + 41 = 81
41 + 42 = 83
42 + 43 = 85
43 + 44 = 87
44 + 45 = 89
45 + 46 = 91
46 + 47 = 93
47 + 48 = 95
48 + 49 = 97
49 + 50 = 99
50 + 51 = 101
51 + 52 = 103
52 + 53 = 105
53 + 54 = 107
54 + 55 = 109
55 + 56 = 111
56 + 57 = 113
57 + 58 = 115
58 + 59 = 117
59 + 60 = 119
60 + 61 = 121
61 + 62 = 123
62 + 63 = 125
63 + 64 = 127
64 + 65 = 129
65 + 66 = 131
66 + 67 = 133
67 + 68 = 135
68 + 69 = 137
69 + 70 = 139
70 + 71 = 141
71 + 72 = 143
72 + 73 = 145
73 + 74 = 147
74 + 75 = 149
75 + 76 = 151
76 + 77 = 153
77 + 78 = 155
78 + 79 = 157
79 + 80 = 159
80 + 81 = 161
81 + 82 = 163
82 + 83 = 165
83 + 84 = 167
84 + 85 = 169
85 + 86 = 171
86 + 87 = 173
87 + 88 = 175
88 + 89 = 177
89 + 90 = 179
90 + 91 = 181
91 + 92 = 183
92 + 93 = 185
93 + 94 = 187
94 + 95 = 189
95 + 96 = 191
96 + 97 = 193
97 + 98 = 195
98 + 99 = 197
99 + 100 = 199
100 + 1 = 101
101 + 2 = 103
102 + 3 = 105
103 + 4 = 107
104 + 5 = 109
105 + 6 = 111
106 + 7 = 113
107 + 8 = 115
108 + 9 = 117
109 + 10 = 119
110 + 11 = 121
111 + 12 = 123
112 + 13 = 125
113 + 14 = 127
114 + 15 = 129
115 + 16 = 131
116 + 17 = 133
117 + 18 = 135
118 + 19 = 137
119 + 20 = 139
120 + 21 = 141
121 + 22 = 143
122 + 23 = 145
123 + 24 = 147
124 + 25 = 149
125 + 26 = 151
126 + 27 = 153
127 + 28 = 155
128 + 29 = 157
129 + 30 = 159
130 + 31 = 161
131 + 32 = 163
132 + 33 = 165
133 + 34 = 167
134 + 35 = 169
135 + 36 = 171
136 + 37 = 173
137 + 38 = 175
138 + 39 = 177
139 + 40 = 179
140 + 41 = 181
141 + 42 = 183
142 + 43 = 185
143 + 44 = 187
144 + 45 = 189
145 + 46 = 191
146 + 47 = 193
147 + 48 = 195
148 + 49 = 197
149 + 50 = 199
150 + 51 = 201
151 + 52 = 203
152 + 53 = 205
153 + 54 = 207
154 + 55 = 209
155 + 56 = 211
156 + 57 = 213
157 + 58 = 215
158 + 59 = 217
159 + 60 = 219
160 + 61 = 221
161 + 62 = 223
162 + 63 = 225
163 + 64 = 227
164 + 65 = 229
165 + 66 = 231
166 + 67 = 233
167 + 68 = 235
168 + 69 = 237
169 + 70 = 239
170 + 71 = 241
171 + 72 = 243
172 + 73 = 245
173 + 74 = 247
174 + 75 = 249
175 + 76 = 251
176 + 77 = 253
177 + 78 = 255
178 + 79 = 257
179 + 80 = 259
180 + 81 = 261
181 + 82 = 263
182 + 83 = 265
183 + 84 = 267
184 + 85 = 269
185 + 86 = 271
186 + 87 = 273
187 + 88 = 275
188 + 89 = 277
189 + 90 = 279
190 + 91 = 281
191 + 92 = 283
192 + 93 = 285
193 + 94 = 287
194 + 95 = 289
195 + 96 = 291
196 + 97 = 293
197 + 98 = 295
198 + 99 = 297
199 + 100 = 299
200 + 1 = 201
201 + 2 = 203
202 + 3 = 205
203 + 4 = 207
204 + 5 = 209
205 + 6 = 211
206 + 7 = 213
207 + 8 = 215
208 + 9 = 217
209 + 10 = 219
210 + 11 = 221
211 + 12 = 223
212 + 13 = 225
213 + 14 = 227
214 + 15 = 229
215 + 16 = 231
216 + 17 = 233
217 + 18 = 235
218 + 19 = 237
219 + 20 = 239
220 + 21 = 241
221 + 22 = 243
222 + 23 = 245
223 + 24 = 247
224 + 25 = 249
225 + 26 = 251
226 + 27 = 253
227 + 28 = 255
228 + 29 = 257
229 + 30 = 259
230 + 31 = 261
231 + 32 = 263
232 + 33 = 265
233 + 34 = 267
234 + 35 = 269
235 + 36 = 271
236 + 37 = 273
